name,source,target,length,free_flow_speed,jam_density,merge_priority
E241,427593103,577449988,96.90299999999999,4.0,0.16,1
E242,427593105,427593106,100.205,7.0,0.16,1
E243,427593105,427593115,95.835,7.0,0.16,1
E244,427593105,427593396,36.39,4.0,0.16,1
E245,427593105,427593295,41.852,4.0,0.16,1
E246,427593106,427593107,81.373,7.0,0.16,1
E247,427593106,427593105,100.205,7.0,0.16,1
E248,427593106,427593290,35.101,7.0,0.16,1
E249,427593106,427593289,44.06,7.0,0.16,1
E250,427593107,427593106,81.373,7.0,0.16,1
E251,427593107,427593127,35.185,7.0,0.16,1
E252,427593107,427593130,44.697,7.0,0.16,1
E253,427593108,427593132,36.847,7.0,0.16,1
E254,427593108,427593286,80.468,4.0,0.16,1
E255,427593109,427593118,82.641,5.0,0.16,1
E256,427593109,427593072,78.781,9.0,0.16,1
E257,427593109,427593126,39.937999999999995,7.0,0.16,1
E258,427593109,456033084,173.52399999999997,9.0,0.16,1
E259,427593110,427593130,36.45,7.0,0.16,1
E260,427593110,427593132,41.368,7.0,0.16,1
E261,427593110,574307857,80.59,7.0,0.16,1
E262,427593110,427593288,81.238,7.0,0.16,1
E263,427593111,9190087422,5.82,4.0,0.16,1
E264,427593111,427593298,77.51599999999999,4.0,0.16,1
E265,427593111,427593116,201.664,7.0,0.16,1
E266,427593112,427593117,112.787,7.0,0.16,1
E267,427593112,618711436,42.423,7.0,0.16,1
E268,427593112,295735341,96.92,12.0,0.16,1
E269,427593113,427593122,57.098,7.0,0.16,1
E270,427593113,427593067,110.769,4.0,0.16,1
E271,427593113,625854979,88.04499999999999,4.0,0.16,1
E272,427593114,427593121,38.43,7.0,0.16,1
E273,427593114,427593119,42.268,7.0,0.16,1
E274,427593114,10079431086,44.025,9.0,0.16,1
E275,427593114,427593294,94.729,9.0,0.16,1
E276,427593115,427593105,95.835,7.0,0.16,1
E277,427593115,427593128,35.425,7.0,0.16,1
E278,427593115,427593129,41.929,7.0,0.16,1
E279,427593115,427593298,202.60299999999998,7.0,0.16,1
E280,427593116,427593129,39.476,7.0,0.16,1
E281,427593116,427593131,38.576,7.0,0.16,1
E282,427593116,427593397,96.261,7.0,0.16,1
E283,427593116,427593111,201.664,7.0,0.16,1
E284,427593117,427593131,36.672,7.0,0.16,1
E285,427593117,427593112,112.787,7.0,0.16,1
E286,427593117,10063555312,124.31,4.0,0.16,1
E287,427593118,427593293,100.037,5.0,0.16,1
E288,427593118,427593109,82.641,5.0,0.16,1
E289,427593118,427593078,41.151,7.0,0.16,1
E290,427593118,427593291,37.191,7.0,0.16,1
E291,427593119,427593114,42.268,7.0,0.16,1
E292,427593119,10079431088,19.149,7.0,0.16,1
E293,427593119,427593293,94.916,5.0,0.16,1
E294,427593121,427593122,34.234,7.0,0.16,1
E295,427593121,427593114,38.43,7.0,0.16,1
E296,427593121,10079431084,30.634,7.0,0.16,1
E297,427593122,427593113,57.098,7.0,0.16,1
E298,427593122,427593121,34.234,7.0,0.16,1
E299,427593122,427593067,93.872,7.0,0.16,1
E300,427593124,10079431092,127.931,7.0,0.16,1
E301,427593124,426962428,76.305,4.0,0.16,1
E302,427593124,427593298,78.031,4.0,0.16,1
E303,427593125,10079431088,17.848,7.0,0.16,1
E304,427593125,427593128,40.113,7.0,0.16,1
E305,427593125,427593292,95.655,7.0,0.16,1
E306,427593125,10079431092,75.054,7.0,0.16,1
E307,427593126,427593127,41.973,7.0,0.16,1
E308,427593126,427593291,81.482,7.0,0.16,1
E309,427593126,427593109,39.938,7.0,0.16,1
E310,427593127,427593126,41.973,7.0,0.16,1
E311,427593127,427593107,35.185,7.0,0.16,1
E312,427593127,427593290,81.259,5.0,0.16,1
E313,427593128,427593125,40.113,7.0,0.16,1
E314,427593128,427593115,35.425,7.0,0.16,1
E315,427593128,427593396,95.399,5.0,0.16,1
E316,427593129,427593115,41.929,7.0,0.16,1
E317,427593129,427593116,39.476,7.0,0.16,1
E318,427593129,427593295,95.898,7.0,0.16,1
E319,427593130,427593107,44.697,7.0,0.16,1
E320,427593130,427593110,36.45,7.0,0.16,1
E321,427593130,427593289,81.007,5.0,0.16,1
E322,427593131,427593116,38.576,7.0,0.16,1
E323,427593131,427593117,36.672,7.0,0.16,1
E324,427593131,427593296,96.08,5.0,0.16,1
E325,427593132,427593110,41.368,7.0,0.16,1
E326,427593132,427593108,36.847,7.0,0.16,1
E327,427593132,599150773,81.642,5.0,0.16,1
E328,427593133,427593164,48.138999999999996,7.0,0.16,1
E329,427593133,295735342,83.322,12.0,0.16,1
E330,427593134,9190087432,24.735,4.0,0.16,1
E331,427593134,427593280,146.559,7.0,0.16,1
E332,427593135,427593283,39.322,7.0,0.16,1
E333,427593135,427593280,39.857,7.0,0.16,1
E334,427593135,427593136,145.574,7.0,0.16,1
E335,427593136,427593134,36.796,4.0,0.16,1
E336,427593136,427593135,145.574,7.0,0.16,1
E337,427593137,427593138,147.327,7.0,0.16,1
E338,427593137,426962389,47.358000000000004,4.0,0.16,1
E339,427593138,427593280,39.623,7.0,0.16,1
E340,427593138,427593082,35.752,7.0,0.16,1
E341,427593138,427593137,147.327,7.0,0.16,1
E342,427593140,427593145,38.932,4.0,0.16,1
E343,427593140,427593362,95.764,7.0,0.16,1
E344,427593141,10572417842,34.142,4.0,0.16,1
E345,427593141,427593305,44.508,4.0,0.16,1
E346,427593141,2631196069,102.546,7.0,0.16,1
E347,427593141,427593263,109.65400000000001,7.0,0.16,1
E348,427593142,2631196069,110.786,7.0,0.16,1
E349,427593142,574254937,29.589,7.0,0.16,1
E350,427593142,529481127,48.287,7.0,0.16,1
E351,427593143,427593306,140.04,7.0,0.16,1
E352,427593143,10850753028,10.276,9.0,0.16,1
E353,427593144,427593304,52.318,4.0,0.16,1
E354,427593144,10572417842,6.282,4.0,0.16,1
E355,427593145,427593361,97.159,7.0,0.16,1
E356,427593145,617759803,112.707,7.0,0.16,1
E357,427593145,427593364,50.229,4.0,0.16,1
E358,427593146,427593147,49.367,7.0,0.16,1
E359,427593146,427593285,102.98,7.0,0.16,1
E360,427593147,427593370,38.629,7.0,0.16,1
E361,427593147,427593284,103.708,7.0,0.16,1
E362,427593148,583465629,28.693,9.0,0.16,1
E363,427593148,10063089206,48.845,7.0,0.16,1
E364,427593149,427593148,145.539,7.0,0.16,1
E365,427593149,460976151,33.804,9.0,0.16,1
E366,427593149,295735336,73.081,9.0,0.16,1
E367,427593153,597520668,53.963,7.0,0.16,1
E368,427593153,10028825561,39.406,7.0,0.16,1
E369,427593153,10028878526,31.014,9.0,0.16,1
E370,427593154,427593383,104.843,7.0,0.16,1
E371,427593154,427593260,31.563,4.0,0.16,1
E372,427593155,10063059355,34.463,4.0,0.16,1
E373,427593155,10063059349,43.698,7.0,0.16,1
E374,427593156,2631196063,14.603,7.0,0.16,1
E375,427593156,427593383,224.591,7.0,0.16,1
E376,427593156,10063436999,34.76,7.0,0.16,1
E377,427593156,10063437001,50.117,7.0,0.16,1
E378,427593158,529481127,15.184,12.0,0.16,1
E379,427593158,427593083,45.033,7.0,0.16,1
E380,427593164,427593370,77.154,7.0,0.16,1
E381,427593164,427593282,124.804,7.0,0.16,1
E382,427593165,427593370,102.856,7.0,0.16,1
E383,427593165,427593284,36.322,4.0,0.16,1
E384,427593165,618711436,97.387,7.0,0.16,1
E385,427593166,427593339,75.322,7.0,0.16,1
